# Constructed from biom file
#OTU ID	control15Bracken	control25Bracken	maiz25Bracken	maiz35Bracken
k__Viruses;p__;c__;o__Bunyavirales;f__Alvernaviridae;g__Dinornavirus;s__Beihai barnacle virus 10	1.0	0.0	1.0	0.0
k__Viruses;p__;c__;o__Bunyavirales;f__Alvernaviridae;g__Dinornavirus;s__Beihai barnacle virus 11	2.0	0.0	1.0	0.0
k__Viruses;p__;c__;o__Bunyavirales;f__Alvernaviridae;g__Dinornavirus;s__Beihai barnacle virus 12	0.0	0.0	1.0	0.0
k__Viruses;p__;c__;o__Bunyavirales;f__Alvernaviridae;g__Dinornavirus;s__Beihai barnacle virus 13	0.0	0.0	0.0	1.0
k__Viruses;p__;c__;o__Bunyavirales;f__Alvernaviridae;g__Dinornavirus;s__Beihai barnacle virus 15	0.0	0.0	0.0	2.0
k__Viruses;p__;c__;o__Bunyavirales;f__Alvernaviridae;g__Dinornavirus;s__Beihai barnacle virus 2	0.0	8.0	2.0	6.0
k__Viruses;p__;c__;o__Bunyavirales;f__Alvernaviridae;g__Dinornavirus;s__Beihai barnacle virus 3	1.0	0.0	1.0	1.0
k__Viruses;p__;c__;o__Bunyavirales;f__Alvernaviridae;g__Dinornavirus;s__Beihai barnacle virus 4	0.0	2.0	1.0	1.0
k__Viruses;p__;c__;o__Bunyavirales;f__Alvernaviridae;g__Dinornavirus;s__Beihai barnacle virus 7	1.0	1.0	2.0	0.0
k__Viruses;p__;c__;o__Bunyavirales;f__Alvernaviridae;g__Dinornavirus;s__Beihai barnacle virus 8	2.0	3.0	2.0	1.0
k__Viruses;p__;c__;o__Bunyavirales;f__Alvernaviridae;g__Dinornavirus;s__Beihai barnacle virus 9	6.0	4.0	0.0	0.0
k__Viruses;p__;c__;o__Bunyavirales;f__Alvernaviridae;g__Dinornavirus;s__Beihai blue swimmer crab virus 1	0.0	0.0	2.0	0.0
k__Viruses;p__;c__;o__Bunyavirales;f__Alvernaviridae;g__Dinornavirus;s__Beihai blue swimmer crab virus 3	0.0	1.0	0.0	2.0
k__Viruses;p__;c__;o__Bunyavirales;f__Alvernaviridae;g__Dinornavirus;s__Beihai charybdis crab virus 1	2.0	1.0	1.0	0.0
k__Viruses;p__;c__;o__Bunyavirales;f__Alvernaviridae;g__Dinornavirus;s__Beihai echinoderm virus 1	0.0	2.0	2.0	2.0
k__Viruses;p__;c__;o__Bunyavirales;f__Alvernaviridae;g__Dinornavirus;s__Beihai hepe-like virus 10	3.0	2.0	5.0	0.0
k__Viruses;p__;c__;o__Bunyavirales;f__Alvernaviridae;g__Dinornavirus;s__Beihai hepe-like virus 4	1.0	1.0	2.0	0.0
k__Viruses;p__;c__;o__Bunyavirales;f__Alvernaviridae;g__Dinornavirus;s__Beihai hepe-like virus 8	0.0	3.0	2.0	1.0
k__Viruses;p__;c__;o__Bunyavirales;f__Alvernaviridae;g__Dinornavirus;s__Beihai hepe-like virus 9	4.0	3.0	1.0	2.0
k__Viruses;p__;c__;o__Bunyavirales;f__Alvernaviridae;g__Dinornavirus;s__Beihai hermit crab virus 1	2.0	5.0	1.0	3.0
k__Viruses;p__;c__;o__Bunyavirales;f__Alvernaviridae;g__Dinornavirus;s__Beihai hermit crab virus 3	3.0	2.0	3.0	5.0
k__Viruses;p__;c__;o__Bunyavirales;f__Alvernaviridae;g__Dinornavirus;s__Beihai hermit crab virus 4	4.0	4.0	2.0	8.0
k__Viruses;p__;c__;o__Bunyavirales;f__Alvernaviridae;g__Dinornavirus;s__Beihai horseshoe crab virus 1	2.0	1.0	2.0	3.0
k__Viruses;p__;c__;o__Bunyavirales;f__Alvernaviridae;g__Dinornavirus;s__Beihai mantis shrimp virus 1	1.0	4.0	4.0	6.0
k__Viruses;p__;c__;o__Bunyavirales;f__Alvernaviridae;g__Dinornavirus;s__Beihai mantis shrimp virus 2	2.0	5.0	0.0	2.0
k__Viruses;p__;c__;o__Bunyavirales;f__Alvernaviridae;g__Dinornavirus;s__Beihai mantis shrimp virus 3	9.0	2.0	3.0	3.0
k__Viruses;p__;c__;o__Bunyavirales;f__Alvernaviridae;g__Dinornavirus;s__Beihai mantis shrimp virus 4	0.0	1.0	0.0	0.0
k__Viruses;p__;c__;o__Bunyavirales;f__Alvernaviridae;g__Dinornavirus;s__Beihai mantis shrimp virus 5	0.0	2.0	2.0	0.0
k__Viruses;p__;c__;o__Bunyavirales;f__Alvernaviridae;g__Dinornavirus;s__Beihai mantis shrimp virus 6	1.0	2.0	0.0	0.0
k__Viruses;p__;c__;o__Bunyavirales;f__Alvernaviridae;g__Dinornavirus;s__Beihai mollusks virus 1	0.0	2.0	1.0	1.0
k__Viruses;p__;c__;o__Bunyavirales;f__Alvernaviridae;g__Dinornavirus;s__Beihai mollusks virus 2	1.0	1.0	1.0	2.0
k__Viruses;p__;c__;o__Bunyavirales;f__Alvernaviridae;g__Dinornavirus;s__Beihai narna-like virus 1	0.0	0.0	2.0	0.0
k__Viruses;p__;c__;o__Bunyavirales;f__Alvernaviridae;g__Dinornavirus;s__Beihai narna-like virus 10	2.0	0.0	1.0	0.0
k__Viruses;p__;c__;o__Bunyavirales;f__Alvernaviridae;g__Dinornavirus;s__Beihai narna-like virus 11	0.0	1.0	1.0	0.0
k__Viruses;p__;c__;o__Bunyavirales;f__Alvernaviridae;g__Dinornavirus;s__Beihai narna-like virus 12	0.0	1.0	1.0	0.0
k__Viruses;p__;c__;o__Bunyavirales;f__Alvernaviridae;g__Dinornavirus;s__Beihai narna-like virus 14	0.0	2.0	1.0	0.0
k__Viruses;p__;c__;o__Bunyavirales;f__Alvernaviridae;g__Dinornavirus;s__Beihai narna-like virus 15	1.0	2.0	0.0	1.0
k__Viruses;p__;c__;o__Bunyavirales;f__Alvernaviridae;g__Dinornavirus;s__Beihai narna-like virus 16	1.0	0.0	0.0	0.0
k__Viruses;p__;c__;o__Bunyavirales;f__Alvernaviridae;g__Dinornavirus;s__Beihai narna-like virus 18	1.0	2.0	1.0	1.0
k__Viruses;p__;c__;o__Bunyavirales;f__Alvernaviridae;g__Dinornavirus;s__Beihai narna-like virus 20	1.0	1.0	0.0	0.0
k__Viruses;p__;c__;o__Bunyavirales;f__Alvernaviridae;g__Dinornavirus;s__Beihai narna-like virus 21	0.0	1.0	0.0	0.0
k__Viruses;p__;c__;o__Bunyavirales;f__Alvernaviridae;g__Dinornavirus;s__Beihai narna-like virus 23	2.0	0.0	0.0	1.0
k__Viruses;p__;c__;o__Bunyavirales;f__Alvernaviridae;g__Dinornavirus;s__Beihai narna-like virus 24	0.0	1.0	0.0	0.0
k__Viruses;p__;c__;o__Bunyavirales;f__Alvernaviridae;g__Dinornavirus;s__Beihai narna-like virus 3	1.0	0.0	0.0	0.0
k__Viruses;p__;c__;o__Bunyavirales;f__Alvernaviridae;g__Dinornavirus;s__Beihai narna-like virus 8	0.0	1.0	0.0	0.0
k__Viruses;p__;c__;o__Bunyavirales;f__Alvernaviridae;g__Dinornavirus;s__Beihai narna-like virus 9	3.0	0.0	1.0	0.0
k__Viruses;p__;c__;o__Bunyavirales;f__Alvernaviridae;g__Dinornavirus;s__Beihai noda-like virus 11	0.0	0.0	1.0	0.0
k__Viruses;p__;c__;o__Bunyavirales;f__Alvernaviridae;g__Dinornavirus;s__Beihai noda-like virus 18	0.0	1.0	0.0	0.0
k__Viruses;p__;c__;o__Bunyavirales;f__Alvernaviridae;g__Dinornavirus;s__Beihai noda-like virus 5	1.0	1.0	0.0	0.0
k__Viruses;p__;c__;o__Bunyavirales;f__Alvernaviridae;g__Dinornavirus;s__Beihai octopus virus 1	4.0	3.0	1.0	0.0
k__Viruses;p__;c__;o__Bunyavirales;f__Alvernaviridae;g__Dinornavirus;s__Beihai octopus virus 2	0.0	3.0	0.0	0.0
k__Viruses;p__;c__;o__Bunyavirales;f__Alvernaviridae;g__Dinornavirus;s__Beihai paphia shell virus 1	1.0	1.0	0.0	1.0
k__Viruses;p__;c__;o__Bunyavirales;f__Alvernaviridae;g__Dinornavirus;s__Beihai paphia shell virus 2	3.0	0.0	0.0	3.0
k__Viruses;p__;c__;o__Bunyavirales;f__Alvernaviridae;g__Dinornavirus;s__Beihai paphia shell virus 3	4.0	1.0	2.0	1.0
k__Viruses;p__;c__;o__Bunyavirales;f__Alvernaviridae;g__Dinornavirus;s__Beihai paphia shell virus 4	1.0	0.0	2.0	5.0
k__Viruses;p__;c__;o__Bunyavirales;f__Alvernaviridae;g__Dinornavirus;s__Beihai partiti-like virus 2	0.0	0.0	1.0	0.0
k__Viruses;p__;c__;o__Bunyavirales;f__Alvernaviridae;g__Dinornavirus;s__Beihai permutotetra-like virus 2	1.0	0.0	2.0	0.0
k__Viruses;p__;c__;o__Bunyavirales;f__Alvernaviridae;g__Dinornavirus;s__Beihai picobirna-like virus 7	1.0	3.0	1.0	1.0
k__Viruses;p__;c__;o__Bunyavirales;f__Alvernaviridae;g__Dinornavirus;s__Beihai picorna-like virus 1	0.0	3.0	1.0	3.0
k__Viruses;p__;c__;o__Bunyavirales;f__Alvernaviridae;g__Dinornavirus;s__Beihai picorna-like virus 100	1.0	4.0	2.0	1.0
k__Viruses;p__;c__;o__Bunyavirales;f__Alvernaviridae;g__Dinornavirus;s__Beihai picorna-like virus 101	1.0	1.0	0.0	1.0
k__Viruses;p__;c__;o__Bunyavirales;f__Alvernaviridae;g__Dinornavirus;s__Beihai picorna-like virus 102	1.0	0.0	0.0	1.0
k__Viruses;p__;c__;o__Bunyavirales;f__Alvernaviridae;g__Dinornavirus;s__Beihai picorna-like virus 103	1.0	1.0	1.0	0.0
k__Viruses;p__;c__;o__Bunyavirales;f__Alvernaviridae;g__Dinornavirus;s__Beihai picorna-like virus 104	0.0	2.0	2.0	0.0
k__Viruses;p__;c__;o__Bunyavirales;f__Alvernaviridae;g__Dinornavirus;s__Beihai picorna-like virus 105	0.0	0.0	2.0	1.0
k__Viruses;p__;c__;o__Bunyavirales;f__Alvernaviridae;g__Dinornavirus;s__Beihai picorna-like virus 106	5.0	2.0	3.0	6.0
k__Viruses;p__;c__;o__Bunyavirales;f__Alvernaviridae;g__Dinornavirus;s__Beihai picorna-like virus 107	1.0	1.0	0.0	2.0
k__Viruses;p__;c__;o__Bunyavirales;f__Alvernaviridae;g__Dinornavirus;s__Beihai picorna-like virus 108	2.0	7.0	2.0	0.0
k__Viruses;p__;c__;o__Bunyavirales;f__Alvernaviridae;g__Dinornavirus;s__Beihai picorna-like virus 11	3.0	2.0	2.0	1.0
k__Viruses;p__;c__;o__Bunyavirales;f__Alvernaviridae;g__Dinornavirus;s__Beihai picorna-like virus 110	0.0	1.0	1.0	1.0
k__Viruses;p__;c__;o__Bunyavirales;f__Alvernaviridae;g__Dinornavirus;s__Beihai picorna-like virus 111	1.0	2.0	2.0	1.0
k__Viruses;p__;c__;o__Bunyavirales;f__Alvernaviridae;g__Dinornavirus;s__Beihai picorna-like virus 112	1.0	2.0	0.0	2.0
k__Viruses;p__;c__;o__Bunyavirales;f__Alvernaviridae;g__Dinornavirus;s__Beihai picorna-like virus 113	10.0	4.0	2.0	0.0
k__Viruses;p__;c__;o__Bunyavirales;f__Alvernaviridae;g__Dinornavirus;s__Beihai picorna-like virus 114	5.0	3.0	2.0	3.0
k__Viruses;p__;c__;o__Bunyavirales;f__Alvernaviridae;g__Dinornavirus;s__Beihai picorna-like virus 115	3.0	1.0	0.0	3.0
k__Viruses;p__;c__;o__Bunyavirales;f__Alvernaviridae;g__Dinornavirus;s__Beihai picorna-like virus 116	2.0	2.0	2.0	2.0
k__Viruses;p__;c__;o__Bunyavirales;f__Alvernaviridae;g__Dinornavirus;s__Beihai picorna-like virus 117	1.0	0.0	0.0	0.0
k__Viruses;p__;c__;o__Bunyavirales;f__Alvernaviridae;g__Dinornavirus;s__Beihai picorna-like virus 118	1.0	1.0	2.0	3.0
k__Viruses;p__;c__;o__Bunyavirales;f__Alvernaviridae;g__Dinornavirus;s__Beihai picorna-like virus 119	17.0	17.0	11.0	6.0
k__Viruses;p__;c__;o__Bunyavirales;f__Alvernaviridae;g__Dinornavirus;s__Beihai picorna-like virus 120	12.0	18.0	8.0	10.0
k__Viruses;p__;c__;o__Bunyavirales;f__Alvernaviridae;g__Dinornavirus;s__Beihai picorna-like virus 121	2.0	1.0	5.0	0.0
k__Viruses;p__;c__;o__Bunyavirales;f__Alvernaviridae;g__Dinornavirus;s__Beihai picorna-like virus 122	3.0	1.0	0.0	0.0
k__Viruses;p__;c__;o__Bunyavirales;f__Alvernaviridae;g__Dinornavirus;s__Beihai picorna-like virus 123	0.0	1.0	4.0	1.0
k__Viruses;p__;c__;o__Bunyavirales;f__Alvernaviridae;g__Dinornavirus;s__Beihai picorna-like virus 124	0.0	2.0	1.0	0.0
k__Viruses;p__;c__;o__Bunyavirales;f__Alvernaviridae;g__Dinornavirus;s__Beihai picorna-like virus 125	1.0	1.0	5.0	3.0
k__Viruses;p__;c__;o__Bunyavirales;f__Alvernaviridae;g__Dinornavirus;s__Beihai picorna-like virus 14	2.0	1.0	0.0	0.0
k__Viruses;p__;c__;o__Bunyavirales;f__Alvernaviridae;g__Dinornavirus;s__Beihai picorna-like virus 15	1.0	3.0	0.0	0.0
k__Viruses;p__;c__;o__Bunyavirales;f__Alvernaviridae;g__Dinornavirus;s__Beihai picorna-like virus 16	2.0	3.0	2.0	1.0
k__Viruses;p__;c__;o__Bunyavirales;f__Alvernaviridae;g__Dinornavirus;s__Beihai picorna-like virus 17	3.0	3.0	1.0	3.0
k__Viruses;p__;c__;o__Bunyavirales;f__Alvernaviridae;g__Dinornavirus;s__Beihai picorna-like virus 18	0.0	1.0	0.0	1.0
k__Viruses;p__;c__;o__Bunyavirales;f__Alvernaviridae;g__Dinornavirus;s__Beihai picorna-like virus 19	1.0	6.0	7.0	6.0
k__Viruses;p__;c__;o__Bunyavirales;f__Alvernaviridae;g__Dinornavirus;s__Beihai picorna-like virus 2	2.0	2.0	1.0	1.0
k__Viruses;p__;c__;o__Bunyavirales;f__Alvernaviridae;g__Dinornavirus;s__Beihai picorna-like virus 20	0.0	2.0	3.0	1.0
k__Viruses;p__;c__;o__Bunyavirales;f__Alvernaviridae;g__Dinornavirus;s__Beihai picorna-like virus 21	2.0	2.0	1.0	0.0
k__Viruses;p__;c__;o__Bunyavirales;f__Alvernaviridae;g__Dinornavirus;s__Beihai picorna-like virus 23	1.0	2.0	1.0	2.0
k__Viruses;p__;c__;o__Bunyavirales;f__Alvernaviridae;g__Dinornavirus;s__Beihai picorna-like virus 24	4.0	0.0	4.0	7.0
k__Viruses;p__;c__;o__Bunyavirales;f__Alvernaviridae;g__Dinornavirus;s__Beihai picorna-like virus 26	0.0	0.0	2.0	8.0
k__Viruses;p__;c__;o__Bunyavirales;f__Alvernaviridae;g__Dinornavirus;s__Beihai picorna-like virus 27	5.0	1.0	5.0	4.0
k__Viruses;p__;c__;o__Bunyavirales;f__Alvernaviridae;g__Dinornavirus;s__Beihai picorna-like virus 28	5.0	2.0	1.0	1.0
k__Viruses;p__;c__;o__Bunyavirales;f__Alvernaviridae;g__Dinornavirus;s__Beihai picorna-like virus 30	3.0	0.0	1.0	1.0
k__Viruses;p__;c__;o__Bunyavirales;f__Alvernaviridae;g__Dinornavirus;s__Beihai picorna-like virus 32	2.0	0.0	0.0	1.0
k__Viruses;p__;c__;o__Bunyavirales;f__Alvernaviridae;g__Dinornavirus;s__Beihai picorna-like virus 33	1.0	1.0	1.0	2.0
k__Viruses;p__;c__;o__Bunyavirales;f__Alvernaviridae;g__Dinornavirus;s__Beihai picorna-like virus 35	0.0	1.0	2.0	1.0
k__Viruses;p__;c__;o__Bunyavirales;f__Alvernaviridae;g__Dinornavirus;s__Beihai picorna-like virus 39	1.0	0.0	3.0	4.0
k__Viruses;p__;c__;o__Bunyavirales;f__Alvernaviridae;g__Dinornavirus;s__Beihai picorna-like virus 4	3.0	0.0	3.0	1.0
k__Viruses;p__;c__;o__Bunyavirales;f__Alvernaviridae;g__Dinornavirus;s__Beihai picorna-like virus 40	0.0	0.0	1.0	0.0
k__Viruses;p__;c__;o__Bunyavirales;f__Alvernaviridae;g__Dinornavirus;s__Beihai picorna-like virus 41	2.0	1.0	2.0	2.0
k__Viruses;p__;c__;o__Bunyavirales;f__Alvernaviridae;g__Dinornavirus;s__Beihai picorna-like virus 42	5.0	1.0	1.0	5.0
k__Viruses;p__;c__;o__Bunyavirales;f__Alvernaviridae;g__Dinornavirus;s__Beihai picorna-like virus 43	2.0	1.0	1.0	1.0
k__Viruses;p__;c__;o__Bunyavirales;f__Alvernaviridae;g__Dinornavirus;s__Beihai picorna-like virus 44	2.0	2.0	2.0	2.0
k__Viruses;p__;c__;o__Bunyavirales;f__Alvernaviridae;g__Dinornavirus;s__Beihai picorna-like virus 45	1.0	2.0	0.0	0.0
k__Viruses;p__;c__;o__Bunyavirales;f__Alvernaviridae;g__Dinornavirus;s__Beihai picorna-like virus 46	1.0	0.0	2.0	0.0
k__Viruses;p__;c__;o__Bunyavirales;f__Alvernaviridae;g__Dinornavirus;s__Beihai picorna-like virus 47	5.0	4.0	6.0	16.0
k__Viruses;p__;c__;o__Bunyavirales;f__Alvernaviridae;g__Dinornavirus;s__Beihai picorna-like virus 48	0.0	3.0	3.0	2.0
k__Viruses;p__;c__;o__Bunyavirales;f__Alvernaviridae;g__Dinornavirus;s__Beihai picorna-like virus 49	0.0	2.0	2.0	0.0
k__Viruses;p__;c__;o__Bunyavirales;f__Alvernaviridae;g__Dinornavirus;s__Beihai picorna-like virus 5	2.0	4.0	4.0	7.0
k__Viruses;p__;c__;o__Bunyavirales;f__Alvernaviridae;g__Dinornavirus;s__Beihai picorna-like virus 50	0.0	2.0	0.0	3.0
k__Viruses;p__;c__;o__Bunyavirales;f__Alvernaviridae;g__Dinornavirus;s__Beihai picorna-like virus 51	1.0	1.0	3.0	2.0
k__Viruses;p__;c__;o__Bunyavirales;f__Alvernaviridae;g__Dinornavirus;s__Beihai picorna-like virus 52	1.0	2.0	0.0	2.0
k__Viruses;p__;c__;o__Bunyavirales;f__Alvernaviridae;g__Dinornavirus;s__Beihai picorna-like virus 53	1.0	2.0	2.0	1.0
k__Viruses;p__;c__;o__Bunyavirales;f__Alvernaviridae;g__Dinornavirus;s__Beihai picorna-like virus 54	0.0	2.0	1.0	1.0
k__Viruses;p__;c__;o__Bunyavirales;f__Alvernaviridae;g__Dinornavirus;s__Beihai picorna-like virus 55	3.0	0.0	1.0	0.0
k__Viruses;p__;c__;o__Bunyavirales;f__Alvernaviridae;g__Dinornavirus;s__Beihai picorna-like virus 56	1.0	0.0	0.0	1.0
k__Viruses;p__;c__;o__Bunyavirales;f__Alvernaviridae;g__Dinornavirus;s__Beihai picorna-like virus 57	0.0	1.0	0.0	1.0
k__Viruses;p__;c__;o__Bunyavirales;f__Alvernaviridae;g__Dinornavirus;s__Beihai picorna-like virus 58	1.0	0.0	0.0	0.0
k__Viruses;p__;c__;o__Bunyavirales;f__Alvernaviridae;g__Dinornavirus;s__Beihai picorna-like virus 59	2.0	0.0	0.0	1.0
k__Viruses;p__;c__;o__Bunyavirales;f__Alvernaviridae;g__Dinornavirus;s__Beihai picorna-like virus 6	2.0	2.0	1.0	1.0
k__Viruses;p__;c__;o__Bunyavirales;f__Alvernaviridae;g__Dinornavirus;s__Beihai picorna-like virus 60	0.0	3.0	0.0	1.0
k__Viruses;p__;c__;o__Bunyavirales;f__Alvernaviridae;g__Dinornavirus;s__Beihai picorna-like virus 61	3.0	4.0	1.0	3.0
k__Viruses;p__;c__;o__Bunyavirales;f__Alvernaviridae;g__Dinornavirus;s__Beihai picorna-like virus 62	0.0	2.0	0.0	1.0
k__Viruses;p__;c__;o__Bunyavirales;f__Alvernaviridae;g__Dinornavirus;s__Beihai picorna-like virus 63	4.0	3.0	0.0	3.0
k__Viruses;p__;c__;o__Bunyavirales;f__Alvernaviridae;g__Dinornavirus;s__Beihai picorna-like virus 64	0.0	1.0	0.0	0.0
k__Viruses;p__;c__;o__Bunyavirales;f__Alvernaviridae;g__Dinornavirus;s__Beihai picorna-like virus 65	0.0	2.0	0.0	1.0
k__Viruses;p__;c__;o__Bunyavirales;f__Alvernaviridae;g__Dinornavirus;s__Beihai picorna-like virus 66	0.0	1.0	2.0	0.0
k__Viruses;p__;c__;o__Bunyavirales;f__Alvernaviridae;g__Dinornavirus;s__Beihai picorna-like virus 67	1.0	0.0	2.0	0.0
k__Viruses;p__;c__;o__Bunyavirales;f__Alvernaviridae;g__Dinornavirus;s__Beihai picorna-like virus 68	2.0	0.0	1.0	0.0
k__Viruses;p__;c__;o__Bunyavirales;f__Alvernaviridae;g__Dinornavirus;s__Beihai picorna-like virus 69	4.0	1.0	2.0	3.0
k__Viruses;p__;c__;o__Bunyavirales;f__Alvernaviridae;g__Dinornavirus;s__Beihai picorna-like virus 7	1.0	0.0	2.0	0.0
k__Viruses;p__;c__;o__Bunyavirales;f__Alvernaviridae;g__Dinornavirus;s__Beihai picorna-like virus 70	2.0	4.0	2.0	4.0
k__Viruses;p__;c__;o__Bunyavirales;f__Alvernaviridae;g__Dinornavirus;s__Beihai picorna-like virus 71	0.0	1.0	0.0	0.0
k__Viruses;p__;c__;o__Bunyavirales;f__Alvernaviridae;g__Dinornavirus;s__Beihai picorna-like virus 72	0.0	0.0	0.0	3.0
k__Viruses;p__;c__;o__Bunyavirales;f__Alvernaviridae;g__Dinornavirus;s__Beihai picorna-like virus 73	0.0	3.0	1.0	0.0
k__Viruses;p__;c__;o__Bunyavirales;f__Alvernaviridae;g__Dinornavirus;s__Beihai picorna-like virus 74	0.0	1.0	2.0	1.0
k__Viruses;p__;c__;o__Bunyavirales;f__Alvernaviridae;g__Dinornavirus;s__Beihai picorna-like virus 75	2.0	1.0	0.0	0.0
k__Viruses;p__;c__;o__Bunyavirales;f__Alvernaviridae;g__Dinornavirus;s__Beihai picorna-like virus 77	1.0	0.0	0.0	1.0
k__Viruses;p__;c__;o__Bunyavirales;f__Alvernaviridae;g__Dinornavirus;s__Beihai picorna-like virus 79	0.0	2.0	0.0	0.0
k__Viruses;p__;c__;o__Bunyavirales;f__Alvernaviridae;g__Dinornavirus;s__Beihai picorna-like virus 8	0.0	0.0	1.0	1.0
k__Viruses;p__;c__;o__Bunyavirales;f__Alvernaviridae;g__Dinornavirus;s__Beihai picorna-like virus 80	5.0	1.0	0.0	2.0
k__Viruses;p__;c__;o__Bunyavirales;f__Alvernaviridae;g__Dinornavirus;s__Beihai picorna-like virus 81	1.0	3.0	6.0	3.0
k__Viruses;p__;c__;o__Bunyavirales;f__Alvernaviridae;g__Dinornavirus;s__Beihai picorna-like virus 82	1.0	1.0	0.0	3.0
k__Viruses;p__;c__;o__Bunyavirales;f__Alvernaviridae;g__Dinornavirus;s__Beihai picorna-like virus 83	3.0	1.0	0.0	0.0
k__Viruses;p__;c__;o__Bunyavirales;f__Alvernaviridae;g__Dinornavirus;s__Beihai picorna-like virus 84	1.0	4.0	3.0	0.0
k__Viruses;p__;c__;o__Bunyavirales;f__Alvernaviridae;g__Dinornavirus;s__Beihai picorna-like virus 85	1.0	7.0	3.0	0.0
k__Viruses;p__;c__;o__Bunyavirales;f__Alvernaviridae;g__Dinornavirus;s__Beihai picorna-like virus 87	2.0	1.0	2.0	1.0
k__Viruses;p__;c__;o__Bunyavirales;f__Alvernaviridae;g__Dinornavirus;s__Beihai picorna-like virus 9	1.0	1.0	3.0	0.0
k__Viruses;p__;c__;o__Bunyavirales;f__Alvernaviridae;g__Dinornavirus;s__Beihai picorna-like virus 90	0.0	2.0	2.0	1.0
k__Viruses;p__;c__;o__Bunyavirales;f__Alvernaviridae;g__Dinornavirus;s__Beihai picorna-like virus 91	6.0	2.0	0.0	0.0
k__Viruses;p__;c__;o__Bunyavirales;f__Alvernaviridae;g__Dinornavirus;s__Beihai picorna-like virus 93	1.0	3.0	2.0	0.0
k__Viruses;p__;c__;o__Bunyavirales;f__Alvernaviridae;g__Dinornavirus;s__Beihai picorna-like virus 96	1.0	1.0	0.0	2.0
k__Viruses;p__;c__;o__Bunyavirales;f__Alvernaviridae;g__Dinornavirus;s__Beihai picorna-like virus 99	0.0	0.0	0.0	1.0
k__Viruses;p__;c__;o__Bunyavirales;f__Alvernaviridae;g__Dinornavirus;s__Beihai razor shell virus 1	3.0	2.0	2.0	2.0
k__Viruses;p__;c__;o__Bunyavirales;f__Alvernaviridae;g__Dinornavirus;s__Beihai razor shell virus 2	0.0	1.0	1.0	0.0
k__Viruses;p__;c__;o__Bunyavirales;f__Alvernaviridae;g__Dinornavirus;s__Beihai razor shell virus 3	0.0	1.0	0.0	0.0
k__Viruses;p__;c__;o__Bunyavirales;f__Alvernaviridae;g__Dinornavirus;s__Beihai razor shell virus 4	1.0	2.0	1.0	4.0
k__Viruses;p__;c__;o__Bunyavirales;f__Alvernaviridae;g__Dinornavirus;s__Beihai rhabdo-like virus 1	2.0	0.0	3.0	1.0
k__Viruses;p__;c__;o__Bunyavirales;f__Alvernaviridae;g__Dinornavirus;s__Beihai rhabdo-like virus 2	2.0	3.0	4.0	4.0
k__Viruses;p__;c__;o__Bunyavirales;f__Alvernaviridae;g__Dinornavirus;s__Beihai rhabdo-like virus 4	3.0	0.0	2.0	1.0
k__Viruses;p__;c__;o__Bunyavirales;f__Alvernaviridae;g__Dinornavirus;s__Beihai rhabdo-like virus 5	1.0	0.0	1.0	1.0
k__Viruses;p__;c__;o__Bunyavirales;f__Alvernaviridae;g__Dinornavirus;s__Beihai rhabdo-like virus 6	2.0	3.0	7.0	4.0
k__Viruses;p__;c__;o__Bunyavirales;f__Alvernaviridae;g__Dinornavirus;s__Beihai sea slater virus 1	2.0	1.0	3.0	0.0
k__Viruses;p__;c__;o__Bunyavirales;f__Alvernaviridae;g__Dinornavirus;s__Beihai sea slater virus 2	2.0	0.0	3.0	0.0
