#Datasets	MAS_A	MAS_B	UNS_A	UNS_B	MAS_av	UNS_Av
Copper-translocating P-type ATPase (EC 3.6.3.4)	13	18	17	19	15.5	18
Universal stress protein family	10	9	16	20	9.5	18
Cysteine synthase (EC 2.5.1.47)	22	20	16	19	21	17.5
ATP-dependent protease La (EC 3.4.21.53) Type I	27	23	12	23	25	17.5
RND efflux system, inner membrane transporter CmeB	28	30	17	18	29	17.5
Carbamoyl-phosphate synthase large chain (EC 6.3.5.5)	23	17	17	17	20	17
Iron-sulfur cluster assembly protein SufB	8	17	22	12	12.5	17
NAD synthetase (EC 6.3.1.5)	22	25	15	19	23.5	17
Transcription-repair coupling factor	31	31	17	17	31	17
ClpB protein	17	21	14	20	19	17
Thymidylate kinase (EC 2.7.4.9)	10	16	17	17	13	17
Chaperone protein DnaJ	12	16	17	17	14	17
Pyruvate,phosphate dikinase (EC 2.7.9.1)	9	13	14	19	11	16.5
Xylulose-5-phosphate phosphoketolase (EC 4.1.2.9)	5	10	15	18	7.5	16.5
CTP synthase (EC 6.3.4.2)	15	15	19	14	15	16.5
Signal transduction histidine kinase CheA (EC 2.7.3.-)	26	22	18	15	24	16.5
Pyrophosphate-energized proton pump (EC 3.6.1.1)	16	21	17	16	18.5	16.5
Phosphoenolpyruvate carboxylase (EC 4.1.1.31)	14	11	20	12	12.5	16
Glucose-6-phosphate 1-dehydrogenase (EC 1.1.1.49)	24	14	17	15	19	16
Multimodular transpeptidase-transglycosylase (EC 2.4.1.129) (EC 3.4.-.-)	22	22	11	21	22	16
GTP cyclohydrolase II (EC 3.5.4.25)	10	11	17	15	10.5	16
Peptidyl-prolyl cis-trans isomerase (EC 5.2.1.8)	20	13	16	16	16.5	16
Dihydroxy-acid dehydratase (EC 4.2.1.9)	11	10	16	15	10.5	15.5
Glutamate synthase [NADPH] small chain (EC 1.4.1.13)	12	16	18	13	14	15.5
Beta-xylosidase (EC 3.2.1.37)	15	20	13	18	17.5	15.5
Oligopeptide ABC transporter, periplasmic oligopeptide-binding protein OppA (TC 3.A.1.5.1)	6	14	15	16	10	15.5
Cytochrome c oxidase polypeptide II (EC 1.9.3.1)	11	11	16	15	11	15.5
Phosphate regulon transcriptional regulatory protein PhoB (SphR)	16	14	16	15	15	15.5
Potassium efflux system KefA protein	22	20	12	19	21	15.5
Glucose dehydrogenase, PQQ-dependent (EC 1.1.5.2)	13	11	13	17	12	15
Acetyl-coenzyme A carboxyl transferase beta chain (EC 6.4.1.2)	9	10	16	14	9.5	15
Ferredoxin	10	13	16	14	11.5	15
Nitrate/nitrite transporter	12	20	13	17	16	15
Glutathione S-transferase (EC 2.5.1.18)	37	29	12	18	33	15
Arginyl-tRNA synthetase (EC 6.1.1.19)	16	14	11	19	15	15
SSU ribosomal protein S1p	19	23	10	20	21	15
Threonine dehydratase (EC 4.3.1.19)	10	9	14	15	9.5	14.5
Gamma-glutamyltranspeptidase (EC 2.3.2.2)	14	14	20	9	14	14.5
2-oxoglutarate dehydrogenase E1 component (EC 1.2.4.2)	19	24	12	17	21.5	14.5
6-phosphofructokinase (EC 2.7.1.11)	11	11	14	15	11	14.5
UDP-glucose dehydrogenase (EC 1.1.1.22)	21	19	14	15	20	14.5
Isoquinoline 1-oxidoreductase beta subunit (EC 1.3.99.16)	23	23	13	16	23	14.5
5,10-methylenetetrahydrofolate reductase (EC 1.5.1.20)	16	18	14	14	17	14
Beta-hexosaminidase (EC 3.2.1.52)	18	19	16	12	18.5	14
NAD(P) transhydrogenase alpha subunit (EC 1.6.1.2)	18	13	11	17	15.5	14
Cell division protein FtsZ (EC 3.4.24.-)	13	15	12	16	14	14
Ribonucleotide reductase of class II (coenzyme B12-dependent) (EC 1.17.4.1)	18	21	11	17	19.5	14
Phosphate transport system permease protein PstA (TC 3.A.1.7.1)	11	14	16	12	12.5	14
Ferredoxin reductase	14	15	17	11	14.5	14
Ubiquinone/menaquinone biosynthesis methyltransferase UbiE (EC 2.1.1.-)	10	10	15	12	10	13.5
5'-nucleotidase (EC 3.1.3.5)	16	14	11	16	15	13.5
Exopolyphosphatase (EC 3.6.1.11)	16	15	9	18	15.5	13.5
Translation elongation factor LepA	17	17	11	16	17	13.5
NADH-ubiquinone oxidoreductase chain D (EC 1.6.5.3)	18	20	13	14	19	13.5
NADH-ubiquinone oxidoreductase chain N (EC 1.6.5.3)	20	23	16	11	21.5	13.5
Adenylylsulfate kinase (EC 2.7.1.25)	16	14	12	14	15	13
NAD-specific glutamate dehydrogenase (EC 1.4.1.2), large form	16	14	16	10	15	13
3-hydroxyacyl-CoA dehydrogenase (EC 1.1.1.35)	16	23	13	13	19.5	13
Methylmalonyl-CoA mutase (EC 5.4.99.2)	12	13	12	14	12.5	13
RecA protein	10	14	16	10	12	13
Phosphate ABC transporter, periplasmic phosphate-binding protein PstS (TC 3.A.1.7.1)	14	17	14	12	15.5	13
Translation elongation factor G	9	18	12	14	13.5	13
NADH-ubiquinone oxidoreductase chain G (EC 1.6.5.3)	14	20	13	13	17	13
Probable Co/Zn/Cd efflux system membrane fusion protein	22	20	15	11	21	13
Response regulator of zinc sigma-54-dependent two-component system	5	9	13	13	7	13
3-isopropylmalate dehydrogenase (EC 1.1.1.85)	3	8	10	15	5.5	12.5
Glutamine synthetase type I (EC 6.3.1.2)	11	11	12	13	11	12.5
Aspartokinase (EC 2.7.2.4)	22	19	8	17	20.5	12.5
N-acetyl-L,L-diaminopimelate deacetylase (EC 3.5.1.47)	22	19	12	13	20.5	12.5
Enolase (EC 4.2.1.11)	16	13	14	11	14.5	12.5
Gluconolactonase (EC 3.1.1.17)	16	15	8	17	15.5	12.5
Phosphoenolpyruvate carboxykinase [ATP] (EC 4.1.1.49)	5	6	16	9	5.5	12.5
TsaD/Kae1/Qri7 protein, required for threonylcarbamoyladenosine t(6)A37 formation in tRNA	7	13	15	10	10	12.5
D-alanyl-D-alanine carboxypeptidase (EC 3.4.16.4)	13	14	14	11	13.5	12.5
Quinolinate synthetase (EC 2.5.1.72)	11	13	14	11	12	12.5
1-acyl-sn-glycerol-3-phosphate acyltransferase (EC 2.3.1.51)	22	16	9	16	19	12.5
Tricarboxylate transport membrane protein TctA	4	6	14	11	5	12.5
Type II/IV secretion system ATP hydrolase TadA/VirB11/CpaF, TadA subfamily	9	10	10	15	9.5	12.5
Phosphate regulon sensor protein PhoR (SphS) (EC 2.7.13.3)	14	11	12	13	12.5	12.5
Translation initiation factor 2	16	14	16	9	15	12.5
NADH-ubiquinone oxidoreductase chain M (EC 1.6.5.3)	17	25	17	8	21	12.5
Transcription termination factor Rho	17	14	11	14	15.5	12.5
Glutamate synthase [NADPH] large chain (EC 1.4.1.13)	14	16	13	11	15	12
Pyruvate kinase (EC 2.7.1.40)	20	14	13	11	17	12
NAD(P) transhydrogenase subunit beta (EC 1.6.1.2)	12	16	11	13	14	12
RNA polymerase sigma factor RpoD	14	20	13	11	17	12
1-deoxy-D-xylulose 5-phosphate synthase (EC 2.2.1.7)	20	19	7	17	19.5	12
Twitching motility protein PilT	13	11	15	9	12	12
putative Glutathione-regulated potassium-efflux system protein KefB	25	18	10	14	21.5	12
Branched-chain alpha-keto acid dehydrogenase, E1 component, alpha subunit (EC 1.2.4.4)	16	17	8	15	16.5	11.5
S-adenosylmethionine synthetase (EC 2.5.1.6)	4	10	13	10	7	11.5
Phosphoglycerate kinase (EC 2.7.2.3)	17	10	9	14	13.5	11.5
Cell division protein FtsI [Peptidoglycan synthetase] (EC 2.4.1.129)	7	6	12	11	6.5	11.5
Inosine-5'-monophosphate dehydrogenase (EC 1.1.1.205)	21	19	9	14	20	11.5
Ku domain protein	10	14	8	15	12	11.5
Excinuclease ABC subunit C	12	15	7	16	13.5	11.5
2-polyprenyl-6-methoxyphenol hydroxylase and related FAD-dependent oxidoreductases	10	9	11	12	9.5	11.5
Flagellar hook-length control protein FliK	8	7	9	14	7.5	11.5
Proteorhodopsin	12	12	14	9	12	11.5
GTP pyrophosphokinase (EC 2.7.6.5), (p)ppGpp synthetase I	10	5	13	10	7.5	11.5
Serine phosphatase RsbU, regulator of sigma subunit	8	11	10	13	9.5	11.5
Diaminopimelate decarboxylase (EC 4.1.1.20)	17	18	7	15	17.5	11
Pyruvate dehydrogenase E1 component (EC 1.2.4.1)	21	19	14	8	20	11
Pyruvate dehydrogenase E1 component beta subunit (EC 1.2.4.1)	11	11	11	11	11	11
NADP-dependent malic enzyme (EC 1.1.1.40)	15	16	13	9	15.5	11
Isocitrate lyase (EC 4.1.3.1)	11	7	11	11	9	11
Endo-1,4-beta-xylanase A precursor (EC 3.2.1.8)	18	25	14	8	21.5	11
Outer membrane protein A precursor	16	16	7	15	16	11
Biotin carboxylase of acetyl-CoA carboxylase (EC 6.3.4.14)	15	14	10	12	14.5	11
COG0488: ATPase components of ABC transporters with duplicated ATPase domains	10	14	11	11	12	11
S-adenosylmethionine:tRNA ribosyltransferase-isomerase (EC 5.-.-.-)	17	14	7	15	15.5	11
Phosphoribosylamine--glycine ligase (EC 6.3.4.13)	8	11	12	10	9.5	11
Inorganic pyrophosphatase (EC 3.6.1.1)	8	8	15	7	8	11
Xanthine dehydrogenase, molybdenum binding subunit (EC 1.17.1.4)	5	11	13	9	8	11
Phosphate transport system permease protein PstC (TC 3.A.1.7.1)	11	18	6	16	14.5	11
Aspartyl-tRNA synthetase (EC 6.1.1.12)	8	7	13	9	7.5	11
GTP-binding protein Era	9	10	13	9	9.5	11
DEAD-box ATP-dependent RNA helicase CshA (EC 3.6.4.13)	9	8	11	11	8.5	11
Protein RtcB	9	9	11	11	9	11
Sulfate permease	17	15	9	12	16	10.5
Fumarate hydratase class II (EC 4.2.1.2)	16	15	9	12	15.5	10.5
NAD-dependent glyceraldehyde-3-phosphate dehydrogenase (EC 1.2.1.12)	12	17	10	11	14.5	10.5
Ribose-phosphate pyrophosphokinase (EC 2.7.6.1)	10	9	10	11	9.5	10.5
Rod shape-determining protein MreB	16	9	11	10	12.5	10.5
dTDP-4-dehydrorhamnose reductase (EC 1.1.1.133)	12	8	8	13	10	10.5
3-polyprenyl-4-hydroxybenzoate carboxy-lyase (EC 4.1.1.-)	12	15	13	8	13.5	10.5
Excinuclease ABC subunit B	13	15	11	10	14	10.5
Branched-chain amino acid ABC transporter, amino acid-binding protein (TC 3.A.1.4.1)	3	7	13	8	5	10.5
High-affinity branched-chain amino acid transport system permease protein LivH (TC 3.A.1.4.1)	5	9	8	13	7	10.5
Arsenical pump-driving ATPase (EC 3.6.3.16)	3	3	13	8	3	10.5
YpfJ protein, zinc metalloprotease superfamily	7	7	10	11	7	10.5
ATP synthase beta chain (EC 3.6.3.14)	9	16	13	8	12.5	10.5
Ammonium transporter	5	7	12	9	6	10.5
Probable low-affinity inorganic phosphate transporter	11	10	11	10	10.5	10.5
secreted alkaline phosphatase	11	10	8	13	10.5	10.5
ATP-dependent Clp protease ATP-binding subunit ClpX	9	9	11	10	9	10.5
TldD family protein, Actinobacterial subgroup	4	6	11	10	5	10.5
Anaerobic dehydrogenases, typically selenocysteine-containing	2	4	11	10	3	10.5
Putative stomatin/prohibitin-family membrane protease subunit aq_911	10	11	10	11	10.5	10.5
PF00070 family, FAD-dependent NAD(P)-disulphide oxidoreductase	3	7	12	9	5	10.5
Branched-chain amino acid aminotransferase (EC 2.6.1.42)	10	17	12	8	13.5	10
Adenylosuccinate synthetase (EC 6.3.4.4)	10	15	7	13	12.5	10
Adenosylhomocysteinase (EC 3.3.1.1)	10	9	10	10	9.5	10
Tryptophan synthase beta chain (EC 4.2.1.20)	9	10	9	11	9.5	10
Dihydrolipoamide acetyltransferase component of pyruvate dehydrogenase complex (EC 2.3.1.12)	15	10	10	10	12.5	10
Succinyl-CoA ligase [ADP-forming] beta chain (EC 6.2.1.5)	14	11	11	9	12.5	10
UDP-N-acetylglucosamine 2-epimerase (EC 5.1.3.14)	10	11	10	10	10.5	10
HtrA protease/chaperone protein	10	17	13	7	13.5	10
Membrane-bound lytic murein transglycosylase D precursor (EC 3.2.1.-)	7	7	13	7	7	10
3-demethylubiquinone-9 3-methyltransferase (EC 2.1.1.64)	12	5	10	10	8.5	10
NADH-ubiquinone oxidoreductase chain F (EC 1.6.5.3)	9	13	11	9	11	10
DNA mismatch repair protein MutL	16	12	8	12	14	10
DNA gyrase subunit B (EC 5.99.1.3)	12	14	10	10	13	10
DNA polymerase III beta subunit (EC 2.7.7.7)	10	8	10	10	9	10
Cardiolipin synthetase (EC 2.7.8.-)	16	15	14	6	15.5	10
Branched-chain amino acid transport ATP-binding protein LivF (TC 3.A.1.4.1)	5	6	11	9	5.5	10
Cysteinyl-tRNA synthetase (EC 6.1.1.16)	11	10	7	13	10.5	10
Adenylosuccinate lyase (EC 4.3.2.2)	11	13	10	10	12	10
Trk system potassium uptake protein TrkA	7	5	9	11	6	10
Alkyl hydroperoxide reductase subunit C-like protein	13	14	10	10	13.5	10
Glutaminyl-tRNA synthetase (EC 6.1.1.18)	8	9	11	9	8.5	10
Peptide methionine sulfoxide reductase MsrA (EC 1.8.4.11)	10	10	13	7	10	10
NADH-ubiquinone oxidoreductase chain B (EC 1.6.5.3)	13	11	10	10	12	10
NADH-ubiquinone oxidoreductase chain H (EC 1.6.5.3)	15	15	10	10	15	10
Polyribonucleotide nucleotidyltransferase (EC 2.7.7.8)	13	12	10	10	12.5	10
Cytoplasmic axial filament protein CafA and Ribonuclease G (EC 3.1.4.-)	13	15	11	9	14	10
Transcription antitermination protein NusG	10	14	5	15	12	10
Methylthioadenosine deaminase	3	4	11	9	3.5	10
Transcriptional regulator, MerR family	6	7	10	10	6.5	10
Cysteine desulfurase (EC 2.8.1.7), SufS subfamily	14	12	12	7	13	9.5
Dihydrolipoamide acyltransferase component of branched-chain alpha-keto acid dehydrogenase complex (EC 2.3.1.168)	12	11	7	12	11.5	9.5
O-succinylhomoserine sulfhydrylase (EC 2.5.1.48)	10	15	9	10	12.5	9.5
Proline iminopeptidase (EC 3.4.11.5)	9	8	8	11	8.5	9.5
Dihydrolipoamide dehydrogenase of pyruvate dehydrogenase complex (EC 1.8.1.4)	6	8	9	10	7	9.5
Succinate dehydrogenase iron-sulfur protein (EC 1.3.99.1)	8	16	13	6	12	9.5
Beta-glucosidase (EC 3.2.1.21)	12	9	10	9	10.5	9.5
Pyruvate oxidase [ubiquinone, cytochrome] (EC 1.2.2.2)	4	2	11	8	3	9.5
1,4-alpha-glucan (glycogen) branching enzyme, GH-13-type (EC 2.4.1.18)	4	8	8	11	6	9.5
Catalase (EC 1.11.1.6)	18	18	9	10	18	9.5
Protein acetyltransferase	2	4	12	7	3	9.5
Endonuclease III (EC 4.2.99.18)	10	9	10	9	9.5	9.5
Circadian input kinase A	5	5	9	10	5	9.5
Chromosome partition protein smc	16	15	7	12	15.5	9.5
Enoyl-[acyl-carrier-protein] reductase [NADH] (EC 1.3.1.9)	14	7	7	12	10.5	9.5
Aspartate carbamoyltransferase (EC 2.1.3.2)	12	7	8	11	9.5	9.5
Dihydroorotase (EC 3.5.2.3)	14	13	9	10	13.5	9.5
Holliday junction DNA helicase RuvB	10	11	10	9	10.5	9.5
Beta-carotene ketolase (EC 1.14.-.-)	7	5	13	6	6	9.5
Magnesium and cobalt transport protein CorA	9	9	7	12	9	9.5
Branched-chain amino acid transport ATP-binding protein LivG (TC 3.A.1.4.1)	3	4	10	9	3.5	9.5
Oligopeptide transport system permease protein OppB (TC 3.A.1.5.1)	6	4	7	12	5	9.5
Beta-ketoadipate enol-lactone hydrolase (EC 3.1.1.24)	6	5	9	10	5.5	9.5
GTP-binding and nucleic acid-binding protein YchF	7	7	9	10	7	9.5
Phosphoribosylformylglycinamidine synthase, glutamine amidotransferase subunit (EC 6.3.5.3)	9	7	10	9	8	9.5
GMP synthase [glutamine-hydrolyzing] (EC 6.3.5.2)	10	11	10	9	10.5	9.5
Glutathione-regulated potassium-efflux system protein KefC	6	8	7	12	7	9.5
GTP-binding protein TypA/BipA	10	9	9	10	9.5	9.5
Phytochrome, two-component sensor histidine kinase (EC 2.7.3.-)	10	15	9	10	12.5	9.5
GTP pyrophosphokinase (EC 2.7.6.5), (p)ppGpp synthetase II	12	11	7	12	11.5	9.5
Cytochrome oxidase biogenesis protein Sco1/SenC/PrrC, putative copper metallochaperone	6	7	8	11	6.5	9.5
Transcription termination protein NusA	16	18	9	10	17	9.5
Inner membrane protein translocase component YidC, long form	10	13	7	12	11.5	9.5
Serine hydroxymethyltransferase (EC 2.1.2.1)	15	16	8	10	15.5	9
Delta-1-pyrroline-5-carboxylate dehydrogenase (EC 1.5.1.12)	16	10	8	10	13	9
Acetylornithine aminotransferase (EC 2.6.1.11)	15	12	8	10	13.5	9
Acetylornithine deacetylase (EC 3.5.1.16)	3	5	11	7	4	9
Aminomethyltransferase (glycine cleavage system T protein) (EC 2.1.2.10)	10	15	6	12	12.5	9
Glycine dehydrogenase [decarboxylating] (glycine cleavage system P protein) (EC 1.4.4.2)	22	17	8	10	19.5	9
Histidine ammonia-lyase (EC 4.3.1.3)	11	12	9	9	11.5	9
Homoserine dehydrogenase (EC 1.1.1.3)	12	7	10	8	9.5	9
Threonine synthase (EC 4.2.3.1)	5	7	11	7	6	9
Acetate kinase (EC 2.7.2.1)	8	11	8	10	9.5	9
NADH dehydrogenase (EC 1.6.99.3)	12	12	6	12	12	9
Glucosamine-6-phosphate deaminase (EC 3.5.99.6)	9	7	9	9	8	9
N-Acetyl-D-glucosamine ABC transport system, sugar-binding protein	3	3	8	10	3	9
Glucose-6-phosphate isomerase (EC 5.3.1.9)	19	16	8	10	17.5	9
Glycogen phosphorylase (EC 2.4.1.1)	10	12	8	10	11	9
Malto-oligosyltrehalose synthase (EC 5.4.99.15)	6	7	9	9	6.5	9
Acetate permease ActP (cation/acetate symporter)	5	2	11	7	3.5	9
Malto-oligosyltrehalose trehalohydrolase (EC 3.2.1.141)	4	9	11	7	6.5	9
Alpha-xylosidase (EC 3.2.1.-)	6	7	13	5	6.5	9
Septum formation protein Maf	10	6	8	10	8	9
Hydroxymethylpyrimidine phosphate synthase ThiC (EC 4.1.99.17)	16	16	11	7	16	9
Glutamate-1-semialdehyde aminotransferase (EC 5.4.3.8)	8	6	7	11	7	9
Single-stranded-DNA-specific exonuclease RecJ (EC 3.1.-.-)	16	16	8	10	16	9
Exodeoxyribonuclease III (EC 3.1.11.2)	13	17	8	10	15	9
MutS-related protein, family 1	5	8	9	9	6.5	9
Chromosomal replication initiator protein DnaA	10	12	8	10	11	9
Cytochrome c551 peroxidase (EC 1.11.1.5)	6	3	12	6	4.5	9
Oligopeptide transport ATP-binding protein OppD (TC 3.A.1.5.1)	2	5	10	8	3.5	9
Threonyl-tRNA synthetase (EC 6.1.1.3)	16	14	9	9	15	9
Phosphate transport ATP-binding protein PstB (TC 3.A.1.7.1)	6	5	8	10	5.5	9
Phenylalanyl-tRNA synthetase beta chain (EC 6.1.1.20)	10	11	10	8	10.5	9
Translation elongation factor Ts	7	7	9	9	7	9
Carbon monoxide dehydrogenase large chain (EC 1.2.99.2)	3	3	10	8	3	9
Serine protease precursor MucD/AlgY associated with sigma factor RpoE	5	8	10	8	6.5	9
Chromate transport protein ChrA	7	8	5	13	7.5	9
Ornithine cyclodeaminase (EC 4.3.1.12)	3	4	9	8	3.5	8.5
Kynurenine formamidase, bacterial (EC 3.5.1.9)	9	8	7	10	8.5	8.5
Seryl-tRNA synthetase (EC 6.1.1.11)	15	16	7	10	15.5	8.5
Transaldolase (EC 2.2.1.2)	5	7	7	10	6	8.5
Glycosyl transferase, family 2	6	5	8	9	5.5	8.5
Chromosome (plasmid) partitioning protein ParA	12	9	7	10	10.5	8.5
N-acetylglucosamine-1-phosphate uridyltransferase (EC 2.7.7.23)	10	12	7	10	11	8.5
2-dehydropantoate 2-reductase (EC 1.1.1.169)	10	10	7	10	10	8.5
ATP-dependent DNA ligase (EC 6.5.1.1) LigC	12	15	10	7	13.5	8.5
Flp pilus assembly protein TadB	11	9	7	10	10	8.5
COG1836	11	18	7	10	14.5	8.5
PhnB protein	14	11	6	11	12.5	8.5
Aromatic-L-amino-acid decarboxylase (EC 4.1.1.28)	8	8	5	11	8	8
Acetolactate synthase large subunit (EC 2.2.1.6)	9	8	10	6	8.5	8
L-serine dehydratase (EC 4.3.1.17)	8	5	6	10	6.5	8
Malate dehydrogenase (EC 1.1.1.37)	11	12	8	8	11.5	8
Fructose-bisphosphate aldolase class I (EC 4.1.2.13)	14	6	6	10	10	8
6-phosphogluconate dehydrogenase, decarboxylating (EC 1.1.1.44)	5	7	7	9	6	8
4-alpha-glucanotransferase (amylomaltase) (EC 2.4.1.25)	7	4	5	11	5.5	8
UDP-galactopyranose mutase (EC 5.4.99.9)	5	5	8	8	5	8
4-hydroxythreonine-4-phosphate dehydrogenase (EC 1.1.1.262)	12	10	6	10	11	8
tRNA-guanine transglycosylase (EC 2.4.2.29)	9	6	5	11	7.5	8
Amidophosphoribosyltransferase (EC 2.4.2.14)	14	11	8	8	12.5	8
DNA mismatch repair protein MutS	11	9	8	8	10	8
DNA topoisomerase I (EC 5.99.1.2)	11	16	5	11	13.5	8
Dipeptide transport system permease protein DppB (TC 3.A.1.5.2)	3	5	8	8	4	8
Thiol peroxidase, Bcp-type (EC 1.11.1.15)	3	2	8	8	2.5	8
Hydrogen peroxide-inducible genes activator	10	9	6	10	9.5	8
putative cytochrome P450 hydroxylase	5	9	9	7	7	8
Translation elongation factor P	6	6	6	10	6	8
Translation elongation factor G-related protein	8	8	8	8	8	8
Low-specificity L-threonine aldolase (EC 4.1.2.48)	8	9	6	9	8.5	7.5
Tryptophan 2,3-dioxygenase (EC 1.13.11.11)	5	5	5	10	5	7.5
Cystathionine gamma-lyase (EC 4.4.1.1)	9	11	9	6	10	7.5
Aspartate-semialdehyde dehydrogenase (EC 1.2.1.11)	18	12	5	10	15	7.5
