# Constructed from biom file								
Level_1	Level_2	Level_3	Level_4	Level_5	controlA	controlB	maizA	maizB
k__Viruses	p__	c__	o__Herpesvirales	f__Phycodnaviridae	0.025384633	0.024190338	0.023628317	0.024237173
k__Viruses	p__	c__	o__Herpesvirales	f__Pithoviridae	0.007563871	0.007025268	0.007399948	0.0061354
k__Viruses	p__	c__	o__Herpesvirales	f__Polydnaviridae	0.004964522	0.004098073	0.004191743	0.003676557
k__Viruses	p__	c__	o__Herpesvirales	f__Polyomaviridae	0.001568976	0.001030373	0.001334801	0.001849987
k__Viruses	p__	c__	o__Herpesvirales	f__Poxviridae	0.028358663	0.027820059	0.026625764	0.026906775
k__Viruses	p__	c__	o__Herpesvirales	f__Sphaerolipoviridae	0.001943657	0.001639229	0.001967075	0.002154415
k__Viruses	p__	c__	o__Ligamenvirales	f__Ampullaviridae	0.000374681	0.000398098	0.000234176	0.000140505
k__Viruses	p__	c__	o__Ligamenvirales	f__Asfarviridae	0.000702527	0.000679109	0.000585439	0.000398098
k__Viruses	p__	c__	o__Ligamenvirales	f__Bicaudaviridae	0.00114746	0.00086645	0.00096012	0.000632274
k__Viruses	p__	c__	o__Ligamenvirales	f__Corticoviridae	4.68E-05	9.37E-05	9.37E-05	4.68E-05
k__Viruses	p__	c__	o__Ligamenvirales	f__Fuselloviridae	0.000491769	0.000608857	0.000421516	0.000374681
k__Viruses	p__	c__	o__Ligamenvirales	f__Globuloviridae	0.000163923	0.000257593	0.000351263	0.000257593
k__Viruses	p__	c__	o__Ligamenvirales	f__Guttaviridae	4.68E-05	4.68E-05	0.000163923	7.03E-05
k__Viruses	p__	c__	o__Ligamenvirales	f__Hytrosaviridae	0.001545559	0.001498724	0.001451889	0.001264548
k__Viruses	p__	c__	o__Ligamenvirales	f__Lavidaviridae	0.000327846	0.000140505	0.000257593	0.000163923
k__Viruses	p__	c__	o__Ligamenvirales	f__Lipothrixviridae	0.001100625	0.001006955	0.00114746	0.000608857
k__Viruses	p__	c__	o__Ligamenvirales	f__Nimaviridae	0.001100625	0.001100625	0.001077208	0.000889867
k__Viruses	p__	c__	o__Ligamenvirales	f__Plasmaviridae	2.34E-05	2.34E-05	2.34E-05	7.03E-05
k__Viruses	p__	c__	o__Ligamenvirales	f__Polyomaviridae	0.000679109	0.00018734	0.000327846	0
k__Viruses	p__	c__	o__Ligamenvirales	f__Portogloboviridae	7.03E-05	7.03E-05	0.000140505	4.68E-05
k__Viruses	p__	c__	o__Ligamenvirales	f__Rudiviridae	0.001006955	0.000819615	0.000538604	0.000843032
k__Viruses	p__	c__	o__Ligamenvirales	f__Tectiviridae	0.000374681	0.000257593	0.000140505	0.000257593
k__Viruses	p__	c__	o__Ligamenvirales	f__Tristromaviridae	7.03E-05	0.000140505	4.68E-05	4.68E-05
k__Viruses	p__	c__	o__Ligamenvirales	f__Turriviridae	0.000117088	9.37E-05	2.34E-05	9.37E-05
k__Viruses	p__	c__	o__Mononegavirales	f__Bornaviridae	0.000444934	0.000304428	0.000374681	0.000257593
k__Viruses	p__	c__	o__Mononegavirales	f__Filoviridae	0.001030373	0.000772779	0.000608857	0.000585439
k__Viruses	p__	c__	o__Mononegavirales	f__Mymonaviridae	2.34E-05	4.68E-05	0	4.68E-05
k__Viruses	p__	c__	o__Mononegavirales	f__Nyamiviridae	7.03E-05	4.68E-05	0.00018734	0.000117088
k__Viruses	p__	c__	o__Mononegavirales	f__Paramyxoviridae	0.004449336	0.003653139	0.003442381	0.004285413
k__Viruses	p__	c__	o__Mononegavirales	f__Pneumoviridae	0.000163923	0.000281011	0.000398098	0.000374681
k__Viruses	p__	c__	o__Mononegavirales	f__Rhabdoviridae	0.006978432	0.007048685	0.006861345	0.006556916
k__Viruses	p__	c__	o__Mononegavirales	f__Sunviridae	7.03E-05	9.37E-05	0.00018734	0.000140505
k__Viruses	p__	c__	o__Nidovirales	f__Arteriviridae	0.00105379	0.000889867	0.000796197	0.000772779
k__Viruses	p__	c__	o__Nidovirales	f__Coronaviridae	0.006931597	0.006603751	0.007118938	0.007025268
k__Viruses	p__	c__	o__Nidovirales	f__Mesoniviridae	0.000749362	0.000702527	0.000538604	0.000585439
k__Viruses	p__	c__	o__Nidovirales	f__Potyviridae	0.00498794	0.004589841	0.004144908	0.005643632
k__Viruses	p__	c__	o__Nidovirales	f__Roniviridae	0.000117088	4.68E-05	4.68E-05	4.68E-05
k__Viruses	p__	c__	o__Ortervirales	f__Alphasatellitidae	0.000281011	0.000468351	0.000327846	0.000398098
k__Viruses	p__	c__	o__Ortervirales	f__Caulimoviridae	0.002341756	0.001943657	0.001967075	0.001803152
k__Viruses	p__	c__	o__Ortervirales	f__Hepadnaviridae	0.000210758	0.000163923	0.000140505	0.000234176
k__Viruses	p__	c__	o__Ortervirales	f__Pleolipoviridae	0.000421516	0.000491769	0.000304428	0.000257593
k__Viruses	p__	c__	o__Ortervirales	f__Retroviridae	0.001381636	0.001451889	0.001311383	0.001358218
k__Viruses	p__	c__	o__Ortervirales	f__Tolecusatellitidae	0.001124043	0.001381636	0.000936702	0.00105379
k__Viruses	p__	c__	o__Picornavirales	f__Dicistroviridae	0.001545559	0.001358218	0.001451889	0.001381636
k__Viruses	p__	c__	o__Picornavirales	f__Flaviviridae	0.000374681	0.000374681	0.000632274	0
k__Viruses	p__	c__	o__Picornavirales	f__Iflaviridae	0.001194295	0.001639229	0.001451889	0.001077208
k__Viruses	p__	c__	o__Picornavirales	f__Marnaviridae	2.34E-05	2.34E-05	0	0
k__Viruses	p__	c__	o__Picornavirales	f__Picornaviridae	0.004004403	0.004496171	0.003489216	0.004261996
k__Viruses	p__	c__	o__Picornavirales	f__Polycipiviridae	0.000515186	0.000491769	0.000398098	0.000515186
k__Viruses	p__	c__	o__Picornavirales	f__Potyviridae	0.000632274	0.000608857	0.000585439	0
k__Viruses	p__	c__	o__Picornavirales	f__Secoviridae	0.002505679	0.002412009	0.00182657	0.001849987
k__Viruses	p__	c__	o__Tymovirales	f__Alphaflexiviridae	0.001545559	0.001311383	0.001100625	0.001451889
k__Viruses	p__	c__	o__Tymovirales	f__Alphatetraviridae	0.000257593	0.000281011	0.00018734	0.000210758
k__Viruses	p__	c__	o__Tymovirales	f__Astroviridae	0.00105379	0.000983537	0.000889867	0.00105379
k__Viruses	p__	c__	o__Tymovirales	f__Barnaviridae	2.34E-05	0	0	2.34E-05
k__Viruses	p__	c__	o__Tymovirales	f__Benyviridae	0.000210758	0.000210758	9.37E-05	0.000117088
k__Viruses	p__	c__	o__Tymovirales	f__Betaflexiviridae	0.002716437	0.002669602	0.002154415	0.002529096
k__Viruses	p__	c__	o__Tymovirales	f__Bromoviridae	0.00105379	0.001006955	0.001287966	0.001194295
k__Viruses	p__	c__	o__Tymovirales	f__Caliciviridae	0.001124043	0.001241131	0.00114746	0.00086645
k__Viruses	p__	c__	o__Tymovirales	f__Carmotetraviridae	4.68E-05	4.68E-05	0	0
k__Viruses	p__	c__	o__Tymovirales	f__Closteroviridae	0.003863897	0.003863897	0.003629722	0.004496171
k__Viruses	p__	c__	o__Tymovirales	f__Deltaflexiviridae	0.000117088	0.00018734	0.00018734	9.37E-05
k__Viruses	p__	c__	o__Tymovirales	f__Flaviviridae	0.004660094	0.004379083	0.004004403	0.004847435
k__Viruses	p__	c__	o__Tymovirales	f__Gammaflexiviridae	2.34E-05	0	0	2.34E-05
k__Viruses	p__	c__	o__Tymovirales	f__Hepeviridae	0.000210758	0	9.37E-05	0.000117088
k__Viruses	p__	c__	o__Tymovirales	f__Leviviridae	0.00018734	0.000140505	0.000117088	0.000163923
k__Viruses	p__	c__	o__Tymovirales	f__Luteoviridae	0.001124043	0.00105379	0.000796197	0.000679109
k__Viruses	p__	c__	o__Tymovirales	f__Narnaviridae	0.000468351	0.000444934	0.000444934	0.000257593
k__Viruses	p__	c__	o__Tymovirales	f__Nodaviridae	0.000398098	0.000234176	0.000163923	0.000257593
k__Viruses	p__	c__	o__Tymovirales	f__Permutotetraviridae	9.37E-05	2.34E-05	0	0.000140505
k__Viruses	p__	c__	o__Tymovirales	f__Solemoviridae	0.00018734	0.000257593	9.37E-05	0.000257593
k__Viruses	p__	c__	o__Tymovirales	f__Solinviviridae	0.000444934	0.000398098	0.00018734	0.000234176
k__Viruses	p__	c__	o__Tymovirales	f__Togaviridae	0.001217713	0.001006955	0.000772779	0.000796197
k__Viruses	p__	c__	o__Tymovirales	f__Tombusviridae	0.001311383	0.001006955	0.001358218	0.00086645
k__Viruses	p__	c__	o__Tymovirales	f__Tymoviridae	0.000889867	0.001194295	0.00114746	0.000936702
k__Viruses	p__	c__	o__Tymovirales	f__Virgaviridae	0.001967075	0.00201391	0.001498724	0.001662647
